beschreibung,dauer_tage,budget_eur,land,region,technologie,projekttyp,teamgroesse,jahr,groesse,projekttyp_detail,ai_effizienz_faktor,stundensatz_eur
"Vertriebssteuerungs-CRM für Becker Pharma. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",90,107658,DE,DE-BY,JavaScript,Neuentwicklung,2,2022,mittel,CRM-System,0.92,83
"Ablösung des Legacy-Systems von Koch Industries (15 Jahre alt, COBOL/Oracle). Strangler-Fig-Muster, schrittweise Migration von 40 Modulen, paralleler Betrieb beider Systeme für 6 Monate, Zero-Downtime-Cutover.",356,857847,DE,DE-TH,Java,Migration,4,2022,gross,Legacy Migration Enterprise,1.0,69
"Responsive Landing Page für Köhler Automotive mit Kontaktformular, SEO-Optimierung und Google Analytics Integration. Design nach Kundenvorgabe in Figma, Umsetzung mit React und Tailwind CSS.",13,7174,DE,DE-BW,JavaScript,Neuentwicklung,1,2023,klein,Landing Page,0.85,84
"Vertriebssteuerungs-CRM für Müller GmbH. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",68,101447,DE,DE-BW,JavaScript,Neuentwicklung,3,2019,mittel,CRM-System,1.0,75
"Business-Intelligence-Tool für Klein Software mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",69,83929,DE,DE-NW,Python/ML,Neuentwicklung,2,2021,mittel,Reporting & Analytics Tool,0.97,86
"B2B-Online-Shop für Klein Software. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",49,92665,DE,DE-BE,PHP,Neuentwicklung,3,2024,mittel,E-Commerce Platform,0.78,66
"B2B-Online-Shop für Krause Retail. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",138,138597,DE,DE-HH,PHP,Neuentwicklung,2,2020,mittel,E-Commerce Platform,1.0,63
"Einzel-Landing-Page für Produktlaunch von Becker & Partner. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",8,5438,AT,AT,JavaScript,Neuentwicklung,1,2024,klein,Landing Page,0.78,81
"Unternehmensportal für Wolf Systems (800 Mitarbeiter) mit bidirektionaler SAP HR-Schnittstelle, SSO via Azure AD, Urlaubsmanagement, Zeiterfassung, Gehaltsabruf und Weiterbildungsmodul. React Frontend, Java Spring Boot Backend.",227,655005,DE,DE-BW,SAP,Neuentwicklung,4,2022,gross,SAP-Integration Portal,0.92,119
"WordPress-Website für Becker Pharma mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",13,7888,DE,DE-HH,PHP,Neuentwicklung,1,2021,klein,WordPress Website,0.97,66
"Datenmigration für Köhler Automotive von Oracle 11g auf PostgreSQL 15. Schema-Mapping, Stored-Procedure-Umschreibung, Performance-Tests, Zero-Downtime-Migration mit Dual-Write-Ansatz.",93,90204,DE,DE-BY,Backend,Migration,2,2019,mittel,Datenmigraton,1.0,80
"KI-gestütztes Dokumentenmanagementsystem für Schwarz Energie mit automatischer Klassifikation per NLP (BERT), Volltextsuche via Elasticsearch, Versionierung, Zugriffsrollen und DSGVO-konformem Hosting auf deutschen Servern.",160,611244,DE,DE-HH,Python/ML,Neuentwicklung,5,2022,gross,ML Dokumentenmanagement,0.92,92
"Ablösung des Legacy-Systems von Zimmermann IT (15 Jahre alt, COBOL/Oracle). Strangler-Fig-Muster, schrittweise Migration von 40 Modulen, paralleler Betrieb beider Systeme für 6 Monate, Zero-Downtime-Cutover.",464,1608037,DE,DE-HH,Java,Migration,5,2022,gross,Legacy Migration Enterprise,1.0,86
"Integration-Layer für Hartmann Health. Apache Kafka, 6 Kafka-Topics, Schema-Registry, Dead-Letter-Queue, automatisches Alerting bei Verarbeitungsfehlern, API-Rate-Limit-Management.",50,105652,DE,DE-BE,Backend,Neuentwicklung,3,2025,mittel,API-Integration Middleware,0.72,84
"Management-Dashboard für Becker Pharma zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",33,22293,AT,AT,JavaScript,Neuentwicklung,1,2022,klein,Dashboard einfach,0.92,76
"Microservice-API für Richter Tech. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",37,22760,DE,DE-BE,Backend,Neuentwicklung,1,2023,klein,REST API einfach,0.85,79
"Online-Buchungssystem für Wagner Immobilien mit Kalenderansicht, automatischen E-Mail-Erinnerungen, Zahlungsintegration via Stripe und Admin-Backend zur Terminverwaltung. React Frontend, Node.js Backend.",19,13640,AT,AT,JavaScript,Neuentwicklung,1,2023,klein,Buchungssystem klein,0.85,78
"KPI-Dashboard für Hartmann Health. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",51,31266,DE,DE-HE,JavaScript,Neuentwicklung,1,2022,klein,Dashboard einfach,0.92,78
"Weiterentwicklung und Bugfixing der bestehenden PHP-Anwendung von Lange Finance. Code-Review, Behebung von 15 kritischen Bugs, Performance-Optimierung der Datenbankabfragen, Upgrade auf PHP 8.2.",20,10170,DE,DE-TH,PHP,Weiterentwicklung,1,2024,klein,Legacy Bugfixing & Weiterentwicklung,0.78,58
"Unternehmenswebsite für Weiß Transport auf WordPress-Basis. Custom-Theme-Entwicklung, WooCommerce-Integration für digitale Downloads, SEO-Plugin-Konfiguration, Hosting-Setup.",9,8696,DE,DE-BE,PHP,Neuentwicklung,1,2026,klein,WordPress Website,0.68,70
"Digitales Patientenportal für Schäfer Insurance mit KV-Anbindung, HL7 FHIR Schnittstelle, Telematikinfrastruktur-Anbindung, ePA-Integration, DSGVO- und KRITIS-konformes Sicherheitskonzept.",451,1351236,DE,DE-HH,Java,Neuentwicklung,6,2019,gross,Gesundheitswesenportal,1.0,79
"Online-Buchungssystem für Bauer Digital mit Kalenderansicht, automatischen E-Mail-Erinnerungen, Zahlungsintegration via Stripe und Admin-Backend zur Terminverwaltung. React Frontend, Node.js Backend.",52,50176,CH,CH,JavaScript,Neuentwicklung,1,2023,klein,Buchungssystem klein,0.85,120
"B2B-Online-Shop für Weber Consulting. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",69,133981,CH,CH,PHP,Neuentwicklung,3,2021,mittel,E-Commerce Platform,0.97,96
"B2B-Online-Shop für Becker & Partner. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",153,210305,DE,DE-NW,PHP,Neuentwicklung,3,2020,mittel,E-Commerce Platform,1.0,60
"B2B-Handelsplattform für Wolf Systems. Microservices-Architektur (12 Services), Kubernetes-Deployment, Punchout-Katalog für EDI-Anbindung, dynamische Preislogik, Self-Service-Kundenportal.",172,996207,CH,CH,Java,Neuentwicklung,7,2022,gross,Enterprise E-Commerce,0.92,126
"Migration der Altdaten von Krüger Education aus Legacy-System (MS Access) in neue PostgreSQL-Datenbank. ETL-Pipeline, Datenbereinigung, Validierungsregeln, Testläufe mit Rollback-Funktion, Dokumentation.",61,116040,CH,CH,Backend,Migration,2,2020,mittel,Datenmigraton,1.0,115
"Cross-Platform-App (iOS & Android) für Koch Industries mit 12 Screens, Nutzerregistrierung, Push-Notifications, Offline-Fähigkeit durch lokale SQLite-Datenbank und REST-API-Anbindung. React Native.",84,115725,DE,DE-HH,Mobile,Neuentwicklung,2,2024,mittel,Mobile App mittel,0.78,94
"SAP S/4HANA-Anbindung für Koch Industries. Fiori-ähnliches Portal, RFC-Schnittstellen für MM/PP/FI, Custom ABAP-Entwicklung, Echtzeit-Datensynchronisation, Rollout auf 3 Werke.",245,658800,DE,DE-BE,SAP,Neuentwicklung,4,2023,gross,SAP-Integration Portal,0.85,110
"WooCommerce-Shop für Krüger Education mit bis zu 200 Produkten, Stripe- und PayPal-Zahlungsanbindung, automatisierter Bestellbestätigung per E-Mail und einfacher Lagerverwaltung.",40,22010,DE,DE-HE,PHP,Neuentwicklung,1,2022,klein,Einfacher Online-Shop,0.92,66
"Vollständige Neuentwicklung des Kernbanksystems von Schwarz Energie. Java Spring Boot Microservices, Event Sourcing, CQRS, Migrationsskripte für 2 Mio. Datensätze, Compliance-Anforderungen BaFin.",435,1558548,CH,CH,Java,Migration,4,2021,gross,Legacy Migration Enterprise,1.0,121
"Shopify-Onlineshop für Maier Group. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",11,18024,CH,CH,PHP,Neuentwicklung,1,2025,klein,Einfacher Online-Shop,0.72,108
"B2B-Online-Shop für Richter Tech. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",67,127756,CH,CH,PHP,Neuentwicklung,2,2025,mittel,E-Commerce Platform,0.72,108
"Vertriebssteuerungs-CRM für Müller GmbH. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",94,162882,DE,DE-BY,JavaScript,Neuentwicklung,3,2023,mittel,CRM-System,0.85,86
"Internes Mitarbeiterportal für Zimmermann IT (80 Nutzer) mit SSO-Anbindung via Azure AD, Urlaubsantrag-Workflow, Dokumentenverwaltung, News-Feed und Organigramm-Darstellung. React Frontend, Node.js Backend, PostgreSQL.",53,79397,AT,AT,JavaScript,Neuentwicklung,2,2025,mittel,Mitarbeiterportal,0.72,84
"WordPress-Website für Braun Logistics mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",10,6100,DE,DE-BW,PHP,Neuentwicklung,1,2023,klein,WordPress Website,0.85,71
"Cross-Platform-App (iOS & Android) für Hoffmann Solutions mit 12 Screens, Nutzerregistrierung, Push-Notifications, Offline-Fähigkeit durch lokale SQLite-Datenbank und REST-API-Anbindung. React Native.",96,133729,DE,DE-TH,Mobile,Neuentwicklung,3,2024,mittel,Mobile App mittel,0.78,75
"Maßgeschneiderte E-Commerce-Plattform für Becker Pharma mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",102,120504,DE,DE-HE,PHP,Neuentwicklung,2,2023,mittel,E-Commerce Platform,0.85,69
"Business-Intelligence-Tool für Neumann Services mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",80,93748,DE,DE-SN,Python/ML,Neuentwicklung,2,2024,mittel,Reporting & Analytics Tool,0.78,81
"HR-Self-Service-Portal für Müller GmbH (150 Mitarbeiter). Vue.js, REST API, Gehaltsabruf-Modul, Weiterbildungskalender, digitale Personalakte, rollenbasierte Zugriffsrechte, DSGVO-konformes Audit-Log.",91,164257,DE,DE-BY,JavaScript,Neuentwicklung,3,2023,mittel,Mitarbeiterportal,0.85,86
"Shopify-Onlineshop für Weiß Transport. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",33,17262,DE,DE-NW,PHP,Neuentwicklung,1,2023,klein,Einfacher Online-Shop,0.85,67
"Maßgeschneidertes CRM für Krüger Education mit Kontaktverwaltung, Pipeline-Tracking, E-Mail-Integration via IMAP/SMTP, Aktivitäten-Log, Reporting-Dashboard und CSV-Import für Bestandsdaten.",127,180579,DE,DE-BW,JavaScript,Neuentwicklung,3,2021,mittel,CRM-System,0.97,79
"WordPress-Website für Wagner Immobilien mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",18,5665,DE,DE-SN,PHP,Neuentwicklung,1,2018,klein,WordPress Website,1.0,49
"Management-Dashboard für Braun Logistics zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",29,29726,CH,CH,JavaScript,Neuentwicklung,1,2022,klein,Dashboard einfach,0.92,116
"Buchungs- und Reservierungsplattform für Schulz Media mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",65,140462,DE,DE-BY,JavaScript,Neuentwicklung,3,2026,mittel,Buchungssystem mittel,0.68,94
"Shopify-Onlineshop für Neumann Services. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",26,18867,DE,DE-HE,PHP,Neuentwicklung,1,2024,klein,Einfacher Online-Shop,0.78,71
"B2B-Handelsplattform für Zimmermann IT. Microservices-Architektur (12 Services), Kubernetes-Deployment, Punchout-Katalog für EDI-Anbindung, dynamische Preislogik, Self-Service-Kundenportal.",101,403908,DE,DE-BY,Java,Neuentwicklung,3,2024,gross,Enterprise E-Commerce,0.78,96
"Wartung und Erweiterung des bestehenden WordPress-Systems von Maier Group. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",16,10398,AT,AT,PHP,Weiterentwicklung,1,2020,klein,Legacy Bugfixing & Weiterentwicklung,1.0,60
"Unternehmensportal für Schäfer Insurance (800 Mitarbeiter) mit bidirektionaler SAP HR-Schnittstelle, SSO via Azure AD, Urlaubsmanagement, Zeiterfassung, Gehaltsabruf und Weiterbildungsmodul. React Frontend, Java Spring Boot Backend.",300,1223680,DE,DE-BY,SAP,Neuentwicklung,6,2019,gross,SAP-Integration Portal,1.0,112
"Unternehmenswebsite für Meier Manufacturing auf WordPress-Basis. Custom-Theme-Entwicklung, WooCommerce-Integration für digitale Downloads, SEO-Plugin-Konfiguration, Hosting-Setup.",18,11412,DE,DE-BW,PHP,Neuentwicklung,1,2022,klein,WordPress Website,0.92,69
"KPI-Dashboard für Schmidt AG. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",49,39815,CH,CH,JavaScript,Neuentwicklung,1,2021,klein,Dashboard einfach,0.97,113
"Unternehmensweite Prozessplattform für Richter Tech auf .NET 8 Basis. Workflow-Engine für 20 Genehmigungsprozesse, Power BI Embedded für Berichte, Azure AD Integration, On-Premise-Deployment auf Kundensystemen.",90,404927,AT,AT,.NET,Neuentwicklung,7,2020,gross,.NET Enterprise Platform,1.0,75
"WordPress-Website für Zimmermann IT mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",19,8717,AT,AT,PHP,Neuentwicklung,1,2019,klein,WordPress Website,1.0,59
"Microservice-API für Becker & Partner. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",20,13913,DE,DE-HE,Backend,Neuentwicklung,1,2021,klein,REST API einfach,0.97,79
"Microservice-API für Wagner Immobilien. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",5,6235,DE,DE-HH,Backend,Neuentwicklung,1,2020,klein,REST API einfach,1.0,79
"Migration der Altdaten von Becker Pharma aus Legacy-System (MS Access) in neue PostgreSQL-Datenbank. ETL-Pipeline, Datenbereinigung, Validierungsregeln, Testläufe mit Rollback-Funktion, Dokumentation.",44,78095,DE,DE-HE,Backend,Migration,3,2024,mittel,Datenmigraton,1.0,87
"Business-Intelligence-Tool für Klein Software mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",41,112021,CH,CH,Python/ML,Neuentwicklung,2,2025,mittel,Reporting & Analytics Tool,0.72,147
"Flutter-App für Wagner Immobilien. Kartenintegration via Google Maps, Foto-Upload mit Bildkomprimierung, Echtzeit-Chat via WebSocket, Biometrie-Login, automatische App-Store-Deployment-Pipeline.",99,119751,DE,DE-BW,Mobile,Neuentwicklung,2,2019,mittel,Mobile App mittel,1.0,82
"Vertriebssteuerungs-CRM für Bauer Digital. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",104,119666,DE,DE-BY,JavaScript,Neuentwicklung,2,2020,mittel,CRM-System,1.0,79
"Unternehmensweite Prozessplattform für Hartmann Health auf .NET 8 Basis. Workflow-Engine für 20 Genehmigungsprozesse, Power BI Embedded für Berichte, Azure AD Integration, On-Premise-Deployment auf Kundensystemen.",193,546881,DE,DE-HH,.NET,Neuentwicklung,6,2019,gross,.NET Enterprise Platform,1.0,77
"Intelligentes Archivierungssystem für Schäfer Insurance. OCR-Pipeline für Papierdokumente, ML-Modell zur Erkennung von Dokumententypen (98% Accuracy), automatische Metadaten-Extraktion, API für Drittsysteme.",225,431787,DE,DE-SN,Python/ML,Neuentwicklung,4,2021,gross,ML Dokumentenmanagement,0.97,73
"KI-gestütztes Dokumentenmanagementsystem für Fischer Handel mit automatischer Klassifikation per NLP (BERT), Volltextsuche via Elasticsearch, Versionierung, Zugriffsrollen und DSGVO-konformem Hosting auf deutschen Servern.",195,621031,DE,DE-BE,Python/ML,Neuentwicklung,6,2023,gross,ML Dokumentenmanagement,0.85,87
"Buchungs- und Reservierungsplattform für Maier Group mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",86,193724,CH,CH,JavaScript,Neuentwicklung,3,2023,mittel,Buchungssystem mittel,0.85,120
"Einzel-Landing-Page für Produktlaunch von Meier Manufacturing. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",10,5344,DE,DE-HE,JavaScript,Neuentwicklung,1,2020,klein,Landing Page,1.0,74
"Business-Intelligence-Tool für Becker & Partner mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",86,116014,DE,DE-BY,Python/ML,Neuentwicklung,2,2018,mittel,Reporting & Analytics Tool,1.0,86
"WordPress-Website für Koch Industries mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",13,8371,DE,DE-HH,PHP,Neuentwicklung,1,2023,klein,WordPress Website,0.85,70
"B2B-Online-Shop für Becker Pharma. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",73,203983,CH,CH,PHP,Neuentwicklung,3,2024,mittel,E-Commerce Platform,0.78,105
"Terminbuchungsportal für Lange Finance (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",37,37645,CH,CH,JavaScript,Neuentwicklung,1,2023,klein,Buchungssystem klein,0.85,120
"Einzel-Landing-Page für Produktlaunch von Bauer Digital. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",6,3841,DE,DE-SN,JavaScript,Neuentwicklung,1,2022,klein,Landing Page,0.92,65
"B2B-Online-Shop für Weber Consulting. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",109,198575,AT,AT,PHP,Neuentwicklung,3,2024,mittel,E-Commerce Platform,0.78,69
"Buchungs- und Reservierungsplattform für Maier Group mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",44,59822,AT,AT,JavaScript,Neuentwicklung,2,2018,mittel,Buchungssystem mittel,1.0,68
"Shopify-Onlineshop für Köhler Automotive. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",18,13586,AT,AT,PHP,Neuentwicklung,1,2024,klein,Einfacher Online-Shop,0.78,69
"Business-Intelligence-Tool für Neumann Services mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",47,89305,AT,AT,Python/ML,Neuentwicklung,2,2025,mittel,Reporting & Analytics Tool,0.72,96
"Enterprise-E-Commerce-Plattform für Becker Pharma mit 50.000+ Produkten, Multi-Mandanten-Fähigkeit, Echtzeit-Bestandssynchronisation, KI-gestützter Produktempfehlung, A/B-Testing-Framework und DACH-Lokalisierung.",318,1414667,AT,AT,Java,Neuentwicklung,7,2024,gross,Enterprise E-Commerce,0.78,88
"Maßgeschneiderte E-Commerce-Plattform für Wagner Immobilien mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",67,117107,DE,DE-HE,PHP,Neuentwicklung,2,2026,mittel,E-Commerce Platform,0.68,75
"Event-Ticketing-System für Braun Logistics. Next.js, Seat-Map-Visualisierung, QR-Code-Ticket-Generierung, Warteliste, Gutscheinverwaltung, automatische Kapazitätssteuerung.",87,85071,DE,DE-NW,JavaScript,Neuentwicklung,2,2021,mittel,Buchungssystem mittel,0.97,74
"B2B-Handelsplattform für Schwarz Energie. Microservices-Architektur (12 Services), Kubernetes-Deployment, Punchout-Katalog für EDI-Anbindung, dynamische Preislogik, Self-Service-Kundenportal.",300,994835,DE,DE-BE,Java,Neuentwicklung,7,2020,gross,Enterprise E-Commerce,1.0,74
"Shopify-Onlineshop für Müller GmbH. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",28,16479,DE,DE-BE,PHP,Neuentwicklung,1,2023,klein,Einfacher Online-Shop,0.85,64
"Maßgeschneidertes CRM für Becker & Partner mit Kontaktverwaltung, Pipeline-Tracking, E-Mail-Integration via IMAP/SMTP, Aktivitäten-Log, Reporting-Dashboard und CSV-Import für Bestandsdaten.",111,276073,CH,CH,JavaScript,Neuentwicklung,3,2022,mittel,CRM-System,0.92,116
"Migration der Altdaten von Wolf Systems aus Legacy-System (MS Access) in neue PostgreSQL-Datenbank. ETL-Pipeline, Datenbereinigung, Validierungsregeln, Testläufe mit Rollback-Funktion, Dokumentation.",86,106462,DE,DE-HH,Backend,Migration,2,2024,mittel,Datenmigraton,1.0,89
"B2B-Handelsplattform für Schwarz Energie. Microservices-Architektur (12 Services), Kubernetes-Deployment, Punchout-Katalog für EDI-Anbindung, dynamische Preislogik, Self-Service-Kundenportal.",391,573623,DE,DE-TH,Java,Neuentwicklung,3,2022,gross,Enterprise E-Commerce,0.92,69
"Integration-Layer für Lange Finance. Apache Kafka, 6 Kafka-Topics, Schema-Registry, Dead-Letter-Queue, automatisches Alerting bei Verarbeitungsfehlern, API-Rate-Limit-Management.",64,96834,AT,AT,Backend,Neuentwicklung,2,2025,mittel,API-Integration Middleware,0.72,88
"Buchungs- und Reservierungsplattform für Zimmermann IT mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",37,51296,DE,DE-HH,JavaScript,Neuentwicklung,2,2023,mittel,Buchungssystem mittel,0.85,82
"REST API für Zimmermann IT mit 8 Endpoints, JWT-Authentifizierung, PostgreSQL-Datenbank, automatischer Swagger-Dokumentation und Docker-Containerisierung für einfaches Deployment.",19,10850,AT,AT,Backend,Neuentwicklung,1,2018,klein,REST API einfach,1.0,71
"Terminbuchungsportal für Fischer Handel (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",39,32125,CH,CH,JavaScript,Neuentwicklung,1,2022,klein,Buchungssystem klein,0.92,116
"Ablösung des Legacy-Systems von Maier Group (15 Jahre alt, COBOL/Oracle). Strangler-Fig-Muster, schrittweise Migration von 40 Modulen, paralleler Betrieb beider Systeme für 6 Monate, Zero-Downtime-Cutover.",387,935769,DE,DE-BW,Java,Migration,4,2019,gross,Legacy Migration Enterprise,1.0,80
"Einzel-Landing-Page für Produktlaunch von Meier Manufacturing. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",16,7610,DE,DE-BE,JavaScript,Neuentwicklung,1,2020,klein,Landing Page,1.0,69
"Intelligentes Archivierungssystem für Krause Retail. OCR-Pipeline für Papierdokumente, ML-Modell zur Erkennung von Dokumententypen (98% Accuracy), automatische Metadaten-Extraktion, API für Drittsysteme.",312,850189,DE,DE-TH,Python/ML,Neuentwicklung,6,2020,gross,ML Dokumentenmanagement,1.0,70
"Integration-Layer für Maier Group. Apache Kafka, 6 Kafka-Topics, Schema-Registry, Dead-Letter-Queue, automatisches Alerting bei Verarbeitungsfehlern, API-Rate-Limit-Management.",79,112002,AT,AT,Backend,Neuentwicklung,3,2021,mittel,API-Integration Middleware,0.97,77
"Einzel-Landing-Page für Produktlaunch von Schwarz Energie. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",9,6056,DE,DE-HE,JavaScript,Neuentwicklung,1,2024,klein,Landing Page,0.78,84
"WooCommerce-Shop für Neumann Services mit bis zu 200 Produkten, Stripe- und PayPal-Zahlungsanbindung, automatisierter Bestellbestätigung per E-Mail und einfacher Lagerverwaltung.",30,13462,DE,DE-BE,PHP,Neuentwicklung,1,2022,klein,Einfacher Online-Shop,0.92,62
"Responsive Landing Page für Zimmermann IT mit Kontaktformular, SEO-Optimierung und Google Analytics Integration. Design nach Kundenvorgabe in Figma, Umsetzung mit React und Tailwind CSS.",10,7726,DE,DE-BE,JavaScript,Neuentwicklung,1,2020,klein,Landing Page,1.0,69
"Management-Dashboard für Becker & Partner zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",22,29106,CH,CH,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,120
"Einzel-Landing-Page für Produktlaunch von Hoffmann Solutions. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",16,11166,CH,CH,JavaScript,Neuentwicklung,1,2021,klein,Landing Page,0.97,113
"Einzel-Landing-Page für Produktlaunch von Wagner Immobilien. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",22,9727,DE,DE-HE,JavaScript,Neuentwicklung,1,2020,klein,Landing Page,1.0,74
